Tournament,Timestamp Link,Team A,Team B,Timestamp,Posteam,Defteam,Event Type,IsFlash,Turnover Cause,Turnover Details,Off Bludgers,Def Bludgers,Scorer,Goal Type,Goal Location,Active Defenders,Shot Distance,Shot Location,Card,OffChasers,OffBeaters,OffSeeker,DefChasers,DefBeaters,DefSeeker,PlayerBeat,ActiveBeater
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2231s,UT,UTSA,00:37:11,,,Play Resumes,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2231s,UT,UTSA,00:37:11,UTSA,UT,Possession Change,TRUE,Goal Scored,,1,2,,,,,,,,,,,"A. Lee, G. Floyd, A. Hewitt, D. Dao","T. Shearin, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2240s,UT,UTSA,00:37:20,UTSA,UT,Goal Scored,TRUE,,,2,0,,Dunk,,None,,,,,,,"A. Lee, G. Floyd, A. Hewitt, D. Dao","T. Shearin, S. Pemberton",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2248s,UT,UTSA,00:37:28,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"A. Lee, G. Floyd, A. Hewitt, D. Dao","T. Shearin, S. Pemberton",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2284s,UT,UTSA,00:38:04,UT,UTSA,Goal Scored,,,,2,0,99,Dunk,Top,1 UTSA hoops chaser,,,,"A. Lee, G. Floyd, A. Hewitt, D. Dao","T. Shearin, S. Pemberton",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2289s,UT,UTSA,00:38:09,,,Stoppage,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2438s,UT,UTSA,00:40:38,UTSA,UT,Possession Change,,Goal Scored,,1,1,,,,,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, Y. Singhania",N. Salinas,G. Floyd,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2449s,UT,UTSA,00:40:49,,,Intermission,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2674s,UT,UTSA,00:44:34,,,Play Resumes,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2693s,UT,UTSA,00:44:53,UT,UTSA,Possession Change,,Ballcarrier Beat,,1,1,,,,,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, Y. Singhania",N. Salinas,G. Floyd,,,,,N. Salinas
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2729s,UT,UTSA,00:45:29,UT,UTSA,Goal Scored,,,,1,2,71,Dunk,Medium,1 UTSA hoops chaser,,,,"I. Sueltenfuss, A. Hewitt, P. Mosqueda, Y. Singhania",N. Salinas,G. Floyd,,,,,
